culus 0.192 0.168 0.922 0.860
4 amps_counting_and_stats 0.183 0.117 0.958 0.650
5 amps_geometry 0.283 0.263 0.074 0.000
6 amps_linear_algebra 0.127 0.235 0.815 0.692
7 amps_number_theory 0.273 0.026 0.875 1.000
8 APPS_structured 0.167 0.154 0.134 0.459
9 asdiv 0.737 0.166 0.092 0.022
10 conala_structured 0.356 0.329 0.329 0.391
11 deepmind_mathematics_algebra 0.202 0.258 0.847 0.910
12 deepmind_mathematics_basicmath 0.270 0.125 0.614 1.000
13 deepmind_mathematics_calculus 0.208 0.026 0.152 0.884
14 deepmind_mathematics_muldiv 0.160 0.034 0.909 1.000
15 deepmind_mathematics_numbertheory 0.296 0.462 0.538 0.710
16 dolphin_t2_final 0.170 0.027 0.006 0.812
17 draw_structured 0.090 0.034 0.005 0.210
18 GSM8k_structured 0.110 0.060 0.139 0.350
19 MATH_crowdsourced 0.150 0.013 0.074 0.472
20 mathqa_gain 0.134 0.054 0.339 0.270
21 mathqa_general 0.110 0.073 0.193 0.120
22 mathqa_geometry 0.120 0.002 0.000 0.250
23 mathqa_other 0.180 0.043 0.011 0.280
24 mathqa_physics 0.120 0.087 0.429 0.210
25 mathqa_probability 0.210 0.003 0.000 0.200
26 mbpp_structured 0.128 0.175 0.164 0.408
27 MCTaco_event_duration_structured 0.800 0.773 0.773 0.710
